City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,CityDate,Temp (C)
0,Albany,42.6,-73.97,303.15,45,23,0.92,US,1594851348,30.0
1,Chui,-33.7,-53.46,279.2,69,0,1.83,UY,1594851361,6.050000000000011
2,Bredasdorp,-34.53,20.04,278.15,86,35,2.6,ZA,1594851555,5.0
3,Morondava,-20.28,44.28,294.81,64,0,8.8,MG,1594851556,21.660000000000025
4,Ballina,-28.87,153.57,286.15,58,0,5.1,AU,1594851556,13.0
5,Holme,56.11,10.17,287.15,87,21,0.5,DK,1594851556,14.0
6,Jamestown,42.1,-79.24,302.04,51,40,3.1,US,1594851311,28.890000000000043
7,Andover,51.21,-1.48,289.15,82,90,2.1,GB,1594851299,16.0
8,Port-Cartier,50.03,-66.87,292.15,52,20,2.1,CA,1594851556,19.0
9,Rikitea,-23.12,-134.97,296.71,83,100,3.99,PF,1594851557,23.560000000000002
10,Ponta do Sol,32.67,-17.1,294.15,64,20,8.2,PT,1594851557,21.0
11,Ribeira Grande,38.52,-28.7,293.96,80,100,2.08,PT,1594851557,20.810000000000002
12,Hilo,19.73,-155.09,301.15,61,90,4.1,US,1594851402,28.0
13,Ushuaia,-54.8,-68.3,271.15,92,1,3.6,AR,1594851529,-2.0
14,Banjar,-8.19,114.97,299.15,94,40,6.2,ID,1594851557,26.0
15,Hirara,24.8,125.28,303.15,83,75,7.7,JP,1594851557,30.0
16,Peniche,39.36,-9.38,297.04,68,0,0.45,PT,1594851557,23.890000000000043
17,Port Lincoln,-34.73,135.87,284.42,76,0,2.43,AU,1594851346,11.270000000000039
18,Lavrentiya,65.58,-171.0,282.25,84,87,1.73,RU,1594851557,9.100000000000023
19,Iqaluit,63.75,-68.51,289.82,51,20,2.1,CA,1594851558,16.670000000000016
20,Kashgar,39.45,75.98,293.15,60,40,6.0,CN,1594851558,20.0
21,Castro,-24.79,-50.01,285.23,86,2,2.13,BR,1594851494,12.080000000000041
22,Rovigo,45.08,11.79,294.26,70,23,1.64,IT,1594851402,21.110000000000014
23,Butaritari,3.07,172.79,301.31,75,78,6.77,KI,1594851558,28.160000000000025
24,Tiznit Province,29.58,-9.5,300.99,41,13,1.32,MA,1594851559,27.840000000000032
25,Atuona,-9.8,-139.03,299.44,76,5,7.41,PF,1594851559,26.29000000000002
26,Carnarvon,-24.87,113.63,291.15,63,40,3.6,AU,1594851559,18.0
27,Puerto Ayora,-0.74,-90.35,294.82,82,91,0.89,EC,1594851559,21.670000000000016
28,Chokurdakh,70.63,147.92,275.68,90,100,5.85,RU,1594851559,2.5300000000000296
29,Shelburne,44.08,-80.2,302.15,45,1,6.7,CA,1594851560,29.0
30,Atar,20.52,-13.05,308.22,20,0,2.62,MR,1594851295,35.07000000000005
31,Diré,12.28,-10.97,298.26,87,67,2.1,ML,1594851560,25.110000000000014
32,Kruisfontein,-34.0,24.73,279.21,63,0,0.89,ZA,1594851560,6.060000000000002
33,Port Elizabeth,-33.92,25.57,278.15,93,0,2.6,ZA,1594851561,5.0
34,Kapaa,22.08,-159.32,301.15,74,40,5.7,US,1594851561,28.0
35,Thompson,55.74,-97.86,289.15,93,75,6.7,CA,1594851320,16.0
36,Mataura,-46.19,168.86,277.04,83,12,1.34,NZ,1594851561,3.890000000000043
37,George Town,5.41,100.34,299.15,94,20,2.09,MY,1594851555,26.0
38,La Ronge,55.1,-105.28,290.15,72,90,8.2,CA,1594851561,17.0
39,Saint-Philippe,-21.36,55.77,292.15,72,43,3.1,RE,1594851561,19.0
40,Boa Vista,2.82,-60.67,303.15,62,40,3.6,BR,1594851561,30.0
41,Saint Paul Harbor,57.79,-152.41,294.15,46,40,2.6,US,1594851561,21.0
42,Sadsadan,16.93,120.87,289.27,97,1,1.01,PH,1594851562,16.120000000000005
43,Hong Kong,22.29,114.16,303.15,74,100,6.71,HK,1594851267,30.0
44,Hobart,-42.88,147.33,279.26,87,75,3.1,AU,1594851533,6.110000000000014
45,Vaini,-21.2,-175.2,298.15,78,40,4.1,TO,1594851562,25.0
46,Mahajanga,-15.72,46.32,294.15,88,0,1.5,MG,1594851562,21.0
47,East London,-33.02,27.91,285.96,55,0,2.75,ZA,1594851562,12.810000000000002
48,Vestmannaeyjar,63.44,-20.27,284.75,93,100,13.07,IS,1594851562,11.600000000000023
49,Zyryanka,65.75,150.85,283.5,50,34,3.38,RU,1594851562,10.350000000000023
50,Arraial do Cabo,-22.97,-42.03,293.15,68,75,1.5,BR,1594851562,20.0
51,Champagnole,46.74,5.91,288.15,92,99,1.79,FR,1594851562,15.0
52,Eureka,40.8,-124.16,290.93,17,0,1.34,US,1594851562,17.78000000000003
53,Bethel,41.37,-73.41,298.15,64,75,4.6,US,1594851562,25.0
54,Lebu,-37.62,-73.65,284.33,91,100,0.27,CL,1594851563,11.180000000000007
55,Algiers,36.75,3.04,296.15,78,20,2.6,DZ,1594851563,23.0
56,Yatou,37.15,122.38,294.19,93,19,2.0,CN,1594851563,21.04000000000002
57,Karratha,-20.74,116.85,291.05,51,4,4.64,AU,1594851401,17.900000000000034
58,Klaksvík,62.23,-6.59,283.15,100,100,5.7,FO,1594851343,10.0
59,Al Bardīyah,31.76,25.09,296.52,75,0,5.87,LY,1594851563,23.370000000000005
60,Kiryat Gat,31.61,34.76,299.82,70,0,1.02,IL,1594851563,26.670000000000016
61,Ilulissat,69.22,-51.1,283.15,61,75,1.5,GL,1594851563,10.0
62,Hasaki,35.73,140.83,291.15,93,75,3.6,JP,1594851563,18.0
63,Kabalo,-6.05,26.92,299.58,33,100,1.39,CD,1594851563,26.430000000000007
64,Kloulklubed,7.04,134.26,300.15,88,75,2.17,PW,1594851564,27.0
65,Longyearbyen,78.22,15.64,280.15,81,75,1.0,SJ,1594851564,7.0
66,Tuktoyaktuk,69.45,-133.04,287.15,50,75,5.1,CA,1594851564,14.0
67,Karaton,-6.34,106.1,300.15,83,40,2.6,ID,1594851564,27.0
68,Provideniya,64.38,-173.3,282.15,81,90,4.0,RU,1594851564,9.0
69,Cidreira,-30.18,-50.21,282.86,64,0,2.23,BR,1594851564,9.710000000000036
70,Punta Arenas,-53.15,-70.92,274.15,86,75,2.6,CL,1594851509,1.0
71,Hithadhoo,-0.6,73.08,301.74,73,100,2.35,MV,1594851564,28.590000000000032
72,Avarua,-21.21,-159.78,296.15,60,84,3.1,CK,1594851565,23.0
73,Christchurch,-43.53,172.63,275.93,100,85,1.0,NZ,1594851472,2.7800000000000296
74,Esperance,-33.87,121.9,282.15,76,3,6.2,AU,1594851565,9.0
75,Saint George,37.1,-113.58,312.59,8,1,3.6,US,1594851348,39.44
76,Aklavik,68.22,-135.01,287.15,82,75,3.1,CA,1594851566,14.0
77,Vuktyl,63.86,57.31,285.05,87,99,4.85,RU,1594851566,11.900000000000034
78,Barrow,71.29,-156.79,281.15,65,1,4.6,US,1594851566,8.0
79,Kavieng,-2.57,150.8,301.32,69,2,1.43,PG,1594851566,28.170000000000016
80,Mount Isa,-20.73,139.5,283.15,51,1,3.6,AU,1594851566,10.0
81,Nanortalik,60.14,-45.24,279.08,88,40,4.31,GL,1594851566,5.930000000000007
82,Along,28.17,94.77,296.03,89,99,0.16,IN,1594851567,22.879999999999995
83,Dikson,73.51,80.55,277.62,97,93,3.2,RU,1594851567,4.470000000000027
84,Canhotinho,-8.88,-36.19,291.89,96,22,2.71,BR,1594851567,18.74000000000001
85,Kankakee,41.15,-87.87,298.15,78,75,1.5,US,1594851567,25.0
86,Vigía del Fuerte,6.58,-76.89,302.56,72,87,1.3,CO,1594851568,29.410000000000025
87,Nikolskoye,59.7,30.79,289.15,67,20,3.0,RU,1594851568,16.0
88,Hermanus,-34.42,19.23,278.71,89,52,0.45,ZA,1594851359,5.560000000000002
89,Bluff,-46.6,168.33,277.04,83,44,1.34,NZ,1594851568,3.890000000000043
90,Copiapó,-27.37,-70.33,287.15,62,0,5.7,CL,1594851568,14.0
91,Huaihua,27.55,109.96,297.28,89,93,0.64,CN,1594851568,24.129999999999995
92,Severo-Kuril'sk,50.68,156.12,284.19,90,93,4.02,RU,1594851357,11.04000000000002
93,Alice Springs,-23.7,133.88,273.15,79,0,2.6,AU,1594851542,0.0
94,New Norfolk,-42.78,147.06,279.26,90,100,1.04,AU,1594851568,6.110000000000014
95,Busselton,-33.65,115.33,288.15,95,34,10.25,AU,1594851568,15.0
96,Airai,-8.93,125.41,285.74,98,82,1.73,TL,1594851569,12.590000000000032
97,Melbourne,28.08,-80.61,302.15,78,40,1.5,US,1594851435,29.0
98,Tasiilaq,65.61,-37.64,280.15,81,0,3.1,GL,1594851362,7.0
99,Horki,54.29,30.98,284.18,85,100,4.71,BY,1594851569,11.03000000000003
100,Mahébourg,-20.41,57.7,292.15,93,75,1.5,MU,1594851569,19.0
101,Urengoy,65.97,78.37,286.76,96,100,5.1,RU,1594851569,13.610000000000014
102,Pirgos,35.12,25.72,298.15,36,0,2.24,GR,1594851570,25.0
103,Guerrero Negro,27.98,-114.06,298.86,51,95,9.08,MX,1594851570,25.710000000000036
104,Coyhaique,-45.58,-72.07,275.15,93,90,1.5,CL,1594851570,2.0
105,Cabo San Lucas,22.89,-109.91,307.04,46,5,5.1,MX,1594851570,33.89000000000004
106,Xining,36.62,101.77,287.62,83,99,1.39,CN,1594851307,14.470000000000027
107,Qaanaaq,77.48,-69.36,278.89,83,100,3.13,GL,1594851570,5.740000000000009
108,Saskylakh,71.92,114.08,290.58,50,99,9.05,RU,1594851570,17.430000000000007
109,Cedar City,37.68,-113.06,306.15,7,1,2.6,US,1594851570,33.0
110,Sharan,54.82,54.0,295.16,70,45,1.61,RU,1594851571,22.010000000000048
111,Nakhon Si Thammarat,8.43,99.97,297.63,89,87,1.07,TH,1594851571,24.480000000000018
112,Yārāda,17.65,83.27,299.15,94,75,1.0,IN,1594851571,26.0
113,Kangaatsiaq,68.31,-53.46,278.78,91,98,2.79,GL,1594851571,5.6299999999999955
114,Yunyang,33.45,112.71,295.1,85,94,0.74,CN,1594851571,21.950000000000045
115,Port Alfred,-33.59,26.89,285.06,42,0,2.14,ZA,1594851571,11.910000000000025
116,Mar del Plata,-38.0,-57.56,282.59,75,0,1.5,AR,1594851571,9.439999999999998
117,Itapetinga,-15.25,-40.25,292.94,81,83,1.95,BR,1594851571,19.79000000000002
118,Golden,39.76,-105.22,299.82,44,75,3.1,US,1594851572,26.670000000000016
119,Jalu,29.03,21.55,301.28,35,0,5.15,LY,1594851572,28.129999999999995
120,Palmer,42.16,-72.33,299.82,57,75,3.1,US,1594851572,26.670000000000016
121,Altamira,-3.2,-52.21,303.15,66,20,1.0,BR,1594851530,30.0
122,Mogadishu,2.04,45.34,298.58,84,95,7.84,SO,1594851381,25.430000000000007
123,Vao,-22.67,167.48,294.34,74,52,10.09,NC,1594851573,21.189999999999998
124,De Aar,-30.65,24.01,275.1,69,0,1.49,ZA,1594851573,1.9500000000000455
125,Olinda,-8.01,-34.86,299.15,74,40,6.2,BR,1594851573,26.0
126,Isangel,-19.55,169.27,298.15,83,20,0.51,VU,1594851573,25.0
127,Cocorit,27.58,-109.97,311.15,25,5,6.7,MX,1594851573,38.0
128,Narsaq,60.92,-46.05,287.15,54,5,3.6,GL,1594851573,14.0
129,Katherine,-14.47,132.27,288.15,62,33,4.1,AU,1594851574,15.0
130,Yellowknife,62.46,-114.35,290.15,67,75,5.1,CA,1594851574,17.0
131,Dalvik,65.97,-18.53,284.15,93,75,2.6,IS,1594851574,11.0
132,‘Āhuimanu,21.44,-157.84,302.15,65,75,4.1,US,1594851574,29.0
133,Indaial,-26.9,-49.23,288.15,72,75,3.6,BR,1594851575,15.0
134,Anadyr,64.75,177.48,287.15,82,20,6.0,RU,1594851575,14.0
135,Upernavik,72.79,-56.15,279.07,90,83,2.06,GL,1594851575,5.920000000000016
136,Joshīmath,30.57,79.57,290.89,55,5,0.58,IN,1594851575,17.74000000000001
137,Dingle,11.0,122.67,297.4,91,56,2.16,PH,1594851575,24.25
138,Puri,19.8,85.85,299.15,94,40,2.1,IN,1594851575,26.0
139,Gigmoto,13.78,124.39,300.64,78,100,2.91,PH,1594851575,27.49000000000001
140,Tuatapere,-46.13,167.68,277.04,83,70,1.34,NZ,1594851353,3.890000000000043
141,Poronaysk,49.22,143.12,288.58,86,79,2.71,RU,1594851576,15.430000000000007
142,Daru,-9.08,143.21,298.27,88,82,8.6,PG,1594851576,25.120000000000005
143,Zhuhai,22.28,113.57,303.15,89,20,4.6,CN,1594851576,30.0
144,Sitka,57.05,-135.33,289.15,82,75,4.1,US,1594851576,16.0
145,Athabasca,54.72,-113.29,294.67,57,17,5.66,CA,1594851330,21.52000000000004
146,Te Anau,-45.42,167.72,273.18,94,84,0.29,NZ,1594851576,0.03000000000002956
147,Sungai Raya,0.7,108.9,297.96,82,62,1.53,ID,1594851577,24.810000000000002
148,Dessie,11.13,39.63,287.13,83,100,1.61,ET,1594851577,13.980000000000018
149,Kudahuvadhoo,2.67,72.89,302.02,73,100,4.45,MV,1594851577,28.870000000000005
150,Cape Town,-33.93,18.42,280.15,87,0,1.0,ZA,1594851317,7.0
151,Saint-Joseph,-21.37,55.62,292.15,72,39,3.1,RE,1594851577,19.0
152,São João da Barra,-21.64,-41.05,294.15,77,90,5.1,BR,1594851577,21.0
153,Jardim,-21.48,-56.14,297.85,56,37,0.91,BR,1594851577,24.700000000000045
154,Pimentel,-6.84,-79.93,292.15,72,30,6.7,PE,1594851577,19.0
155,Ko Samui,9.54,99.94,301.15,83,20,6.14,TH,1594851577,28.0
156,Avera,33.19,-82.53,309.15,41,1,3.1,US,1594851578,36.0
157,Laas,46.62,10.7,285.93,93,75,1.5,IT,1594851578,12.78000000000003
158,Port Moresby,-9.44,147.18,298.15,94,75,7.7,PG,1594851318,25.0
159,Prachuap Khiri Khan,11.82,99.78,298.54,82,100,2.93,TH,1594851578,25.390000000000043
160,Lata,40.16,-8.33,298.15,60,0,1.0,PT,1594851578,25.0
161,Bathsheba,13.22,-59.52,302.15,70,40,5.7,BB,1594851416,29.0
162,Waddān,29.16,16.14,299.96,41,0,6.23,LY,1594851578,26.810000000000002
163,Russkiy,43.01,131.86,292.15,82,90,3.0,RU,1594851578,19.0
164,Garden City,42.33,-83.33,305.15,48,75,5.1,US,1594851579,32.0
165,Praia,14.92,-23.51,299.15,74,75,5.1,CV,1594851579,26.0
166,Barranca,-10.75,-77.77,290.59,79,8,4.36,PE,1594851402,17.439999999999998
167,Kidal,18.44,1.41,301.43,55,71,6.61,ML,1594851579,28.28000000000003
168,Kavaratti,10.57,72.64,301.43,77,100,9.44,IN,1594851579,28.28000000000003
169,Hamilton,39.18,-84.53,306.48,48,1,3.1,US,1594851571,33.33000000000004
170,Souillac,-20.52,57.52,292.15,93,75,1.5,MU,1594851579,19.0
171,Galitsy,56.18,42.85,290.15,77,75,4.0,RU,1594851579,17.0
172,Rincon,32.3,-81.24,307.15,52,40,5.7,US,1594851579,34.0
173,Departamento de Maldonado,-34.67,-54.92,280.15,87,0,0.5,UY,1594851580,7.0
174,Khatanga,71.97,102.5,286.78,67,100,4.51,RU,1594851346,13.629999999999995
175,Faya,18.39,42.45,298.15,35,20,1.14,SA,1594851580,25.0
176,Katsuura,35.13,140.3,294.15,88,75,1.0,JP,1594851580,21.0
177,Vardø,70.37,31.11,285.15,81,35,1.5,NO,1594851580,12.0
178,Sala Consilina,40.39,15.6,289.03,75,25,0.88,IT,1594851580,15.879999999999995
179,Jambi City,-1.6,103.62,295.64,98,19,1.0,ID,1594851580,22.49000000000001
180,Puerto Suárez,-18.95,-57.8,305.15,43,20,3.1,BO,1594851580,32.0
181,Karīmpur,23.97,88.62,299.11,92,92,3.18,IN,1594851580,25.960000000000036
182,Pevek,69.7,170.31,280.82,84,100,1.37,RU,1594851581,7.670000000000016
183,Maningrida,-12.07,134.27,290.68,75,18,4.57,AU,1594851581,17.53000000000003
184,Shahrud,36.42,54.98,293.71,63,92,5.01,IR,1594851581,20.560000000000002
185,La Santisima Trinidad,-14.83,-64.9,300.15,69,0,1.14,BO,1594851581,27.0
186,Mangai,-4.05,19.53,296.95,77,81,0.96,CD,1594851581,23.80000000000001
187,Pangnirtung,66.15,-65.71,291.15,52,75,8.7,CA,1594851581,18.0
188,Matamoros,25.53,-103.25,309.15,19,75,4.1,MX,1594851582,36.0
189,North Bend,43.41,-124.22,300.93,77,1,11.8,US,1594851569,27.78000000000003
190,Merritt Island,28.54,-80.67,304.15,79,40,3.6,US,1594851403,31.0
191,Nishihara,26.18,127.76,302.15,89,75,9.3,JP,1594851582,29.0
192,Lorengau,-2.02,147.27,301.35,67,59,1.94,PG,1594851582,28.200000000000045
193,Acapulco de Juárez,16.86,-99.89,304.15,70,75,3.6,MX,1594851304,31.0
194,Yuci,37.68,112.73,293.15,82,37,1.0,CN,1594851582,20.0
195,Mossamedes,-15.2,12.15,291.87,88,24,3.41,AO,1594851582,18.720000000000027
196,Balkhash,46.84,74.98,296.59,55,26,7.08,KZ,1594851582,23.439999999999998
197,Norman Wells,65.28,-126.83,298.15,38,20,1.5,CA,1594851582,25.0
198,Broome,42.25,-75.83,302.04,42,1,1.5,US,1594851583,28.890000000000043
199,Saldanha,-33.01,17.94,280.15,75,0,0.5,ZA,1594851341,7.0
200,Maniitsoq,65.42,-52.9,280.77,72,79,7.32,GL,1594851583,7.6200000000000045
201,Pahlgām,34.03,75.33,287.05,63,3,1.17,IN,1594851583,13.900000000000034
202,Manokwari,-0.87,134.08,299.57,72,68,1.22,ID,1594851583,26.420000000000016
203,Fort Saint James,54.43,-124.25,285.94,93,100,2.03,CA,1594851584,12.79000000000002
204,Bima,-8.47,118.72,294.65,88,34,2.09,ID,1594851584,21.5
205,Mount Gambier,-37.83,140.77,277.15,93,40,3.1,AU,1594851584,4.0
206,Berck,50.4,1.6,290.15,88,90,3.1,FR,1594851435,17.0
207,Atambua,-9.11,124.89,292.98,82,69,3.14,ID,1594851584,19.83000000000004
208,Maceió,-9.67,-35.74,298.15,78,40,2.1,BR,1594851438,25.0
209,Highland,34.13,-117.21,307.15,15,5,3.1,US,1594851584,34.0
210,Yulara,-25.24,130.99,273.15,73,0,2.6,AU,1594851584,0.0
211,Evensk,61.95,159.23,283.61,95,100,1.25,RU,1594851585,10.460000000000036
212,Silopi,37.25,42.47,300.15,24,0,3.1,TR,1594851585,27.0
213,Ancud,-41.87,-73.82,281.15,100,90,2.1,CL,1594851585,8.0
214,Togur,58.36,82.83,288.18,73,84,4.04,RU,1594851585,15.03000000000003
215,Port Hardy,50.7,-127.42,291.15,82,75,4.1,CA,1594851320,18.0
216,Flin Flon,54.77,-101.86,292.15,68,90,7.2,CA,1594851585,19.0
217,Totolapan,18.52,-96.18,305.37,70,20,4.1,MX,1594851585,32.22000000000003
218,Usinsk,65.99,57.53,280.33,78,92,2.72,RU,1594851585,7.180000000000007
219,Winnemucca,40.97,-117.74,305.15,6,1,1.5,US,1594851585,32.0
220,Tiksi,71.69,128.87,275.71,87,2,8.4,RU,1594851586,2.5600000000000023
221,Laguna,38.42,-121.42,307.04,33,1,3.1,US,1594851586,33.89000000000004
222,Bismil,37.85,40.67,299.15,50,0,2.6,TR,1594851586,26.0
223,Jinchang,38.5,102.17,297.5,39,100,3.0,CN,1594851586,24.350000000000023
224,Olafsvik,64.89,-23.71,283.13,91,100,8.55,IS,1594851586,9.980000000000018
225,Castelfiorentino,43.61,10.97,292.59,61,3,1.75,IT,1594851587,19.439999999999998
226,Colquechaca,-18.67,-66.02,277.19,54,0,1.95,BO,1594851587,4.0400000000000205
227,Makkah al Mukarramah,21.43,39.83,304.03,13,0,2.41,SA,1594851587,30.879999999999995
228,Viedma,-40.81,-63.0,280.44,61,79,3.11,AR,1594851503,7.2900000000000205
229,Beloha,-25.17,45.05,289.5,77,16,3.83,MG,1594851587,16.350000000000023
230,Haines Junction,60.75,-137.51,290.27,46,64,2.58,CA,1594851587,17.120000000000005
231,Alofi,-19.06,-169.92,299.15,65,75,6.7,NU,1594851348,26.0
232,Bambous Virieux,-20.34,57.76,292.15,93,75,1.5,MU,1594851588,19.0
233,Torbay,47.67,-52.73,283.15,100,90,9.3,CA,1594851588,10.0
234,Nālūt,30.33,10.85,303.46,22,1,5.28,LY,1594851588,30.310000000000002
235,Orcotuna,-11.97,-75.33,286.47,50,29,4.52,PE,1594851588,13.32000000000005
236,Geraldton,-28.77,114.6,286.15,87,90,5.7,AU,1594851588,13.0
237,Teseney,15.11,36.66,299.97,66,100,8.09,ER,1594851589,26.82000000000005
238,Codrington,-38.27,141.97,277.6,92,40,2.11,AU,1594851589,4.4500000000000455
239,Villanueva de la Serena,38.98,-5.8,304.26,34,10,1.79,ES,1594851589,31.110000000000014
240,Eyl,7.98,49.82,301.43,61,80,12.12,SO,1594851589,28.28000000000003
241,Mitsamiouli,-11.38,43.28,297.97,71,32,8.35,KM,1594851589,24.82000000000005
242,Pottsville,40.69,-76.2,303.15,54,54,0.89,US,1594851589,30.0
243,Zadar,44.12,15.24,290.15,82,5,1.5,HR,1594851589,17.0
244,Talnakh,69.49,88.4,282.15,87,75,2.0,RU,1594851589,9.0
245,Tessalit,20.2,1.01,305.8,34,60,9.41,ML,1594851590,32.650000000000034
246,Salalah,17.02,54.09,300.15,94,75,0.5,OM,1594851590,27.0
247,Niquero,20.04,-77.58,305.02,61,3,2.12,CU,1594851590,31.870000000000005
248,Kapuskasing,49.42,-82.43,300.15,42,75,5.7,CA,1594851590,27.0
249,San Quintín,30.48,-115.95,296.74,60,0,7.4,MX,1594851590,23.590000000000032
250,Saint-François,46.42,3.91,289.15,77,90,1.0,FR,1594851590,16.0
251,San Cristobal,7.77,-72.22,304.15,52,20,4.6,VE,1594851590,31.0
252,Okhotsk,59.38,143.3,288.07,89,88,3.9,RU,1594851590,14.920000000000016
253,Kumul,42.8,93.45,298.94,20,93,5.72,CN,1594851341,25.79000000000002
254,Havre-St-Pierre,50.23,-63.6,293.15,49,1,2.6,CA,1594851324,20.0
255,Kaitangata,-46.28,169.85,277.85,81,45,1.97,NZ,1594851590,4.7000000000000455
256,Bengkulu,-3.8,102.27,298.33,80,83,1.66,ID,1594851591,25.180000000000007
257,Sur,22.57,59.53,303.03,62,22,4.71,OM,1594851591,29.879999999999995
258,Asău,46.43,26.4,287.04,86,46,2.11,RO,1594851591,13.890000000000043
259,Cayenne,4.93,-52.33,301.15,74,5,1.0,GF,1594851334,28.0
260,Araranguá,-28.93,-49.49,280.82,72,0,0.4,BR,1594851591,7.670000000000016
261,Kisanga,-7.44,37.7,294.46,85,61,1.19,TZ,1594851591,21.310000000000002
262,Broken Hill,-31.95,141.43,277.15,69,0,2.08,AU,1594851591,4.0
263,Faanui,-16.48,-151.75,298.63,86,10,7.54,PF,1594851591,25.480000000000018
264,Kerema,-7.96,145.78,299.38,84,45,1.98,PG,1594851591,26.230000000000018
265,Mingshui,36.72,117.5,299.26,71,40,2.22,CN,1594851592,26.110000000000014
266,La Asuncion,11.03,-63.86,305.15,52,0,7.2,VE,1594851592,32.0
267,Nome,64.5,-165.41,284.26,81,90,3.6,US,1594851592,11.110000000000014
268,Markova,48.68,24.41,286.12,86,96,1.91,UA,1594851592,12.970000000000027
269,Cartagena,10.4,-75.51,305.15,70,20,3.6,CO,1594851568,32.0
270,Novikovo,51.15,37.89,285.47,75,92,5.31,RU,1594851592,12.32000000000005
271,Machinga,-15.17,35.3,286.57,77,7,1.62,MW,1594851592,13.420000000000016
272,Oudtshoorn,-33.59,22.2,279.15,70,0,1.5,ZA,1594851592,6.0
273,Tynda,55.17,124.72,293.2,80,3,0.29,RU,1594851593,20.05000000000001
274,Bundaberg,-24.85,152.35,285.15,58,0,4.6,AU,1594851593,12.0
275,Udachny,66.42,112.4,291.15,63,90,3.0,RU,1594851593,18.0
276,Sicamous,50.83,-118.99,300.37,49,56,1.34,CA,1594851320,27.220000000000027
277,Vanavara,60.34,102.28,284.39,73,51,4.13,RU,1594851593,11.240000000000009
278,Abhā,18.22,42.51,298.15,35,20,1.69,SA,1594851593,25.0
279,Lüderitz,-26.65,15.16,295.15,18,0,7.7,NA,1594851593,22.0
280,Malindi,-3.22,40.12,298.19,76,22,8.44,KE,1594851593,25.04000000000002
281,General Pico,-35.66,-63.76,282.88,62,0,2.99,AR,1594851593,9.730000000000018
282,Kindu,-2.95,25.95,295.47,84,3,0.9,CD,1594851363,22.32000000000005
283,General Roca,-39.03,-67.58,283.15,66,93,0.9,AR,1594851594,10.0
284,São Félix do Xingu,-6.64,-51.99,300.8,45,26,1.1,BR,1594851594,27.650000000000034
285,Port Blair,11.67,92.75,300.41,82,92,4.45,IN,1594851594,27.260000000000048
